sortimento;layout;conforto;preço;reposição;desconto;limpeza;atendimento
5,83;5,48;6,6;1,58;6,88;2,76;5,73;2,05
5,45;5,34;6,16;4,1;4,65;5,38;5,72;2,34
6,09;6,25;5,96;3,61;5,03;5,01;5,56;2,34
7,31;8,43;8,37;5,39;5,28;6,5;7,99;1,61
6,36;6,76;6,16;4,39;5,06;6,11;6,03;2,19
5,98;6,54;5,85;4,74;4,51;6,32;5,1;0,43
5,42;5,42;5,98;4,2;4,52;6,18;5,02;0,29
6,13;6,53;6,29;4,57;4,83;6,22;6,19;1,61
5,88;5,59;6,66;4,35;5,26;6,3;6,18;2,49
6,02;6,49;6,35;4,56;4,64;5,84;6,19;1,17
5,81;5,64;6,41;3,91;5,09;5,81;5,62;1,17
5,62;5,62;6,49;4,76;4,72;6,33;6,05;3,07
5,33;5,16;6,28;4,5;4,59;5,99;5,54;1,61
5,86;6,22;6,11;4,14;4,59;5,33;5,23;3,36
5,85;6,23;6,16;3,96;4,56;5,03;5,57;1,17
6,04;6,63;6,18;4,65;4,56;6,15;5,9;1,17
5,26;5,1;6,24;3,86;4,52;5,13;6,11;0,58
5,38;5,24;6,43;4,28;4,62;5,51;5,85;4,1
6,6;7,63;7,32;5,67;4,67;7,48;7,21;3,36
6,5;6,98;6,99;4,38;5,13;6,15;6,05;1,46
5,58;5,74;6,6;4,59;4,51;5,62;6,28;0,43
5,53;5,45;6,01;4,12;4,71;5,71;5,71;1,75
5,57;5,56;6,27;3,63;4,69;4,64;5,37;0,87
5,53;5,39;6,16;4,14;4,77;5,93;5,97;0,87
5,91;5,76;6,53;3,71;5,15;5,54;5,63;0,43
5,86;6,07;6,26;4,66;4,75;6,65;5,83;1,46
6,33;6,91;6,28;4,43;4,85;6,16;5,49;0,73
5,39;5,2;5,98;4;4,67;5,55;5,24;3,66
5,31;5,19;5,95;3,74;4,53;5;5,71;0,29
5,24;5,02;6,01;4,6;4,56;6,47;5,39;2,49
5,78;6,17;6,23;4,65;4,5;6,51;6,2;0,58
5,72;5,9;6,14;4,34;4,64;6,32;5,95;2,05
6,11;6,21;6,39;4,02;5,11;5,26;5,66;2,92
6,07;6,65;6,16;4,62;4,59;6,23;5,29;0,58
5,96;6,17;6,11;4,39;4,85;6,29;5,34;0,73
5,35;5,11;5,93;4,22;4,7;6,19;5,1;2,19
6,04;6,39;5,99;4,53;4,79;6,49;5,28;1,17
5,93;5,97;6,94;4,78;5;6,31;6,57;3,22
6,14;6,73;6,14;4,35;4,65;5,73;5,36;0,29
5,87;6,14;6,01;4,27;4,69;5,78;5,91;1,31
5,96;6,51;6,03;4,32;4,51;5,4;5,22;0,73
5,44;4,98;6,09;3,37;5;4,56;5,72;1,46
5,26;4,83;5,99;3,89;4,79;5,66;5,73;0,73
6,23;6,97;6,31;4,72;4,59;6,06;5,86;0,58
6,17;6,67;6,36;4,8;4,77;6,63;5,45;1,46
5,56;5,43;6,02;4,36;4,79;6,29;5,83;1,02
6,1;6,04;7,11;4,24;5,26;5,6;6,62;3,95
5,6;5,83;5,85;4,53;4,48;6,37;5,22;0,43
6,04;6,68;5,98;4,7;4,5;6,5;5,27;1,61
5,56;5,23;5,89;2,94;5;3,98;5,87;0,73
6,5;7,05;6,58;4,07;5,05;5,32;5,78;2,05
6,53;7,11;6,38;4,29;5,04;5,5;5,66;0,73
5,95;5,79;5,98;3,37;5,21;5,1;5,54;0,87
5,92;6,17;6,71;4,42;4,77;5,71;6,42;2,78
5,81;5,81;6,24;3,55;4,9;4,78;5,45;0,43
5,89;6,35;5,95;4,18;4,53;5,66;5,82;1,17
5,5;5,22;6,14;3,43;4,89;4,67;5,84;0,29
5,91;6,29;6,09;4,39;4,62;6,06;5,45;1,17
5,39;5,21;6,27;3,95;4,67;5,71;5,55;1,46
5,38;5,24;5,91;4,34;4,61;6,01;5,74;1,61
5,49;5,4;6,13;3,8;4,68;5,03;5,91;1,61
5,29;5,04;5,95;3,9;4,63;5,75;5,34;1,31
6,93;6,39;7,02;2,78;6,57;4,29;6,9;2,78
5,88;6,27;5,91;4,44;4,58;5,62;5,56;2,78
5,76;5,71;6,38;4,03;4,9;5,46;5,58;2,92
5,64;5,84;6,35;4,59;4,53;5,82;5,98;0,29
5,94;6,34;5,99;4,4;4,65;5,8;5,16;0,58
6,49;7,1;7,13;5,08;4,98;7,05;6,24;1,9
6,46;7,16;6,39;4,38;4,87;5,64;6,03;3,95
5,78;6,07;6,01;4,11;4,59;5,84;5,53;1,17
5,59;5,59;6,06;4,26;4,69;5,98;5,06;2,63
6,05;6,44;6,17;4,35;4,76;5,38;5,78;3,07
6,05;6,68;6,04;4,32;4,53;5,48;5,68;0,29
5,96;6,12;6,98;4,29;4,89;5,75;6,44;0,73
6,23;6,87;6,09;4,56;4,7;5,85;5,24;0,87
5,47;5,55;5,91;4,48;4,5;5,98;5,45;1,61
5,75;5,92;7,02;4,46;4,69;6,08;6,89;0,58
5,45;5,5;5,89;4,24;4,5;5,59;5,56;0,73
5,72;5,99;6,12;4,36;4,55;6,14;5,22;0,43
6,07;6,45;6,21;4,36;4,79;5,75;5,75;0,58
6;6,56;5,91;4,42;4,54;5,76;5,63;1,31
5,3;5,01;6,04;3,82;4,68;5,14;5,82;1,75
6,38;7,27;6,68;5,5;4,59;6,93;6,2;3,07
6,62;7,35;6,71;4,94;4,99;6,76;6,03;3,22
5,72;5,96;5,96;4,12;4,58;5,55;5,12;0,58
5,35;5,23;5,96;3,98;4,57;5,72;5,5;1,31
5,73;5,89;5,94;3,9;4,67;4,9;5,25;0,58
6,22;6,85;6,07;4,52;4,68;5,72;5,43;0,58
5,84;6,04;6,54;4,3;4,74;5,67;6,17;3,51
6,06;6,65;6,33;5,08;4,56;6,68;5,9;2,78
6,07;6,39;5,95;4,3;4,85;5,71;5,9;1,46
6,21;6,91;6,15;4,49;4,61;5,94;6,07;0,43
5,62;5,5;6,11;4,04;4,84;5,66;6,07;0,87
6,05;6,39;7;4,69;4,8;6,45;6,22;2,34
6,26;6,7;6,21;4,51;4,93;5,87;5,54;3,66
